"지역별(1)","시점","도착출발별(1)",운항 (편),여객 (명),화물 (톤)
"일본","2013.01","도착",3098,436029,14758
"일본","2013.01","출발",3103,483324,16836
"일본","2013.02","도착",2787,473079,14714
"일본","2013.02","출발",2786,461365,16160
"일본","2013.03","도착",3103,527808,16892
"일본","2013.03","출발",3103,529820,21416
"일본","2013.04","도착",2950,430403,15441
"일본","2013.04","출발",2947,427750,18649
"일본","2013.05","도착",3058,426229,15683
"일본","2013.05","출발",3051,444788,18916
"일본","2013.06","도착",2958,435088,15929
"일본","2013.06","출발",2948,432312,17975
"일본","2013.07","도착",3178,460881,16516
"일본","2013.07","출발",3174,481374,18618
"일본","2013.08","도착",3227,552538,17391
"일본","2013.08","출발",3221,515022,19027
"일본","2013.09","도착",3096,436754,15219
"일본","2013.09","출발",3089,454794,19614
"일본","2013.10","도착",3064,437992,15914
"일본","2013.10","출발",3074,439703,21796
"일본","2013.11","도착",2927,417146,15699
"일본","2013.11","출발",2913,426450,21242
"일본","2013.12","도착",3021,452832,16936
"일본","2013.12","출발",3019,417436,18729
"일본","2014.01","도착",3069,420721,14659
"일본","2014.01","출발",3064,492732,18604
"일본","2014.02","도착",2804,468773,15814
"일본","2014.02","출발",2794,429773,17360
"일본","2014.03","도착",3095,481393,16505
"일본","2014.03","출발",3084,487982,21603
"일본","2014.04","도착",2888,402871,16211
"일본","2014.04","출발",2885,408801,17942
"일본","2014.05","도착",3032,411991,15142
"일본","2014.05","출발",3028,414947,17131
"일본","2014.06","도착",2893,413791,15409
"일본","2014.06","출발",2891,417679,15775
"일본","2014.07","도착",2985,442940,15957
"일본","2014.07","출발",2989,461133,16823
"일본","2014.08","도착",3023,531021,16760
"일본","2014.08","출발",3015,500766,17892
"일본","2014.09","도착",2862,435876,15032
"일본","2014.09","출발",2861,454330,17327
"일본","2014.10","도착",2954,467316,16357
"일본","2014.10","출발",2959,472389,19598
"일본","2014.11","도착",2826,443509,15907
"일본","2014.11","출발",2835,445680,19652
"일본","2014.12","도착",2979,475702,17338
"일본","2014.12","출발",2984,456708,18026
"일본","2015.01","도착",3106,494682,16257
"일본","2015.01","출발",3104,534343,17476
"일본","2015.02","도착",2866,509374,20581
"일본","2015.02","출발",2873,478530,16804
"일본","2015.03","도착",3100,532780,19426
"일본","2015.03","출발",3110,543372,20485
"일본","2015.04","도착",2967,491045,17737
"일본","2015.04","출발",2983,495236,18447
"일본","2015.05","도착",3115,502894,16248
"일본","2015.05","출발",3121,506969,17212
"일본","2015.06","도착",3010,371146,15501
"일본","2015.06","출발",3011,388589,15169
"일본","2015.07","도착",2959,425605,17916
"일본","2015.07","출발",2967,449663,15427
"일본","2015.08","도착",3284,586666,18905
"일본","2015.08","출발",3289,545396,16931
"일본","2015.09","도착",3178,474778,17066
"일본","2015.09","출발",3181,501144,17468
"일본","2015.10","도착",3407,570952,18870
"일본","2015.10","출발",3414,560855,18864
"일본","2015.11","도착",3406,548112,17943
"일본","2015.11","출발",3411,553910,19340
"일본","2015.12","도착",3627,596416,20054
"일본","2015.12","출발",3636,590334,18383
"일본","2016.01","도착",3661,651868,19369
"일본","2016.01","출발",3671,682601,17746
"일본","2016.02","도착",3523,653587,19350
"일본","2016.02","출발",3521,636157,16577
"일본","2016.03","도착",3733,630247,21470
"일본","2016.03","출발",3745,638128,19560
"일본","2016.04","도착",3504,572390,20587
"일본","2016.04","출발",3509,542826,17485
"일본","2016.05","도착",3570,488841,18074
"일본","2016.05","출발",3579,511118,16676
"일본","2016.06","도착",3499,531876,20341
"일본","2016.06","출발",3505,549285,16674
"일본","2016.07","도착",3926,624429,21157
"일본","2016.07","출발",3936,653409,17731
"일본","2016.08","도착",4007,734817,21440
