"시점", 선행종합지수(2020=100), 재고순환지표(%p), 경제심리지수, 기계류내수출하지수(선박제외)(2020=100), 건설수주액(실질)(십억원),수출입물가비율(2015=100),코스피(1980.1.4=100), 장단기금리차(%p), 동행종합지수(2020=100), 광공업생산지수(2020=100), 서비스업생산지수(도소매업제외)(2020=100), 건설기성액(실질)(십억원), 소매판매액지수(2020=100), 내수출하지수(2020=100), 수입액(실질)(백만불), 비농림어업취업자수(천명), 후행종합지수(2020=100), 생산자제품재고지수(2020=100), 소비자물가지수변화율(서비스), 소비재수입액(실질)(백만불), 취업자수(천명), CP유통수익률(%p)
"1976.04",7.3,-,-,-,-,-,-,-,8.1,-,-,-,-,-,-,-,7.1,-,-,-,-,-
"1976.05",7.4,-,-,-,-,-,-,-,8.2,-,-,-,-,-,-,-,7.3,-,-,-,-,-
"1976.06",7.4,-,-,-,-,-,-,-,8.4,-,-,-,-,-,-,-,7.3,-,-,-,-,-
"1976.07",7.5,-,-,-,-,-,-,-,8.6,-,-,-,-,-,-,-,7.4,-,-,-,-,-
"1976.08",7.5,-,-,-,-,-,-,-,8.8,-,-,-,-,-,-,-,7.4,-,-,-,-,-
"1976.09",7.6,-,-,-,-,-,-,-,8.9,-,-,-,-,-,-,-,7.4,-,-,-,-,-
"1976.10",7.6,-,-,-,-,-,-,-,8.8,-,-,-,-,-,-,-,7.4,-,-,-,-,-
"1976.11",7.6,-,-,-,-,-,-,-,8.9,-,-,-,-,-,-,-,7.5,-,-,-,-,-
"1976.12",7.7,-,-,-,-,-,-,-,9.0,-,-,-,-,-,-,-,7.6,-,-,-,-,-
"1977.01",7.8,-,-,-,-,-,-,-,9.0,-,-,-,-,-,-,-,7.7,-,-,-,-,-
"1977.02",7.8,-,-,-,-,-,-,-,9.1,-,-,-,-,-,-,-,7.8,-,-,-,-,-
"1977.03",7.8,-,-,-,-,-,-,-,9.2,-,-,-,-,-,-,-,7.9,-,-,-,-,-
"1977.04",7.9,-,-,-,-,-,-,-,9.4,-,-,-,-,-,-,-,8.0,-,-,-,-,-
"1977.05",8.0,-,-,-,-,-,-,-,9.4,-,-,-,-,-,-,-,8.1,-,-,-,-,-
"1977.06",8.1,-,-,-,-,-,-,-,9.6,-,-,-,-,-,-,-,8.1,-,-,-,-,-
"1977.07",8.2,-,-,-,-,-,-,-,9.7,-,-,-,-,-,-,-,8.2,-,-,-,-,-
"1977.08",8.3,-,-,-,-,-,-,-,9.8,-,-,-,-,-,-,-,8.4,-,-,-,-,-
"1977.09",8.4,-,-,-,-,-,-,-,9.9,-,-,-,-,-,-,-,8.4,-,-,-,-,-
"1977.10",8.4,-,-,-,-,-,-,-,10.0,-,-,-,-,-,-,-,8.6,-,-,-,-,-
"1977.11",8.5,-,-,-,-,-,-,-,10.1,-,-,-,-,-,-,-,8.7,-,-,-,-,-
"1977.12",8.6,-,-,-,-,-,-,-,10.3,-,-,-,-,-,-,-,8.8,-,-,-,-,-
"1978.01",8.7,-,-,-,-,-,-,-,10.6,-,-,-,-,-,-,-,8.9,-,-,-,-,-
"1978.02",8.8,-,-,-,-,-,-,-,10.7,-,-,-,-,-,-,-,9.0,-,-,-,-,-
"1978.03",8.9,-,-,-,-,-,-,-,10.8,-,-,-,-,-,-,-,9.0,-,-,-,-,-
"1978.04",9.0,-,-,-,-,-,-,-,10.9,-,-,-,-,-,-,-,9.1,-,-,-,-,-
"1978.05",9.0,-,-,-,-,-,-,-,11.0,-,-,-,-,-,-,-,9.3,-,-,-,-,-
"1978.06",9.0,-,-,-,-,-,-,-,11.1,-,-,-,-,-,-,-,9.3,-,-,-,-,-
"1978.07",9.1,-,-,-,-,-,-,-,11.2,-,-,-,-,-,-,-,9.4,-,-,-,-,-
"1978.08",9.1,-,-,-,-,-,-,-,11.3,-,-,-,-,-,-,-,9.5,-,-,-,-,-
"1978.09",9.2,-,-,-,-,-,-,-,11.5,-,-,-,-,-,-,-,9.7,-,-,-,-,-
"1978.10",9.3,-,-,-,-,-,-,-,11.6,-,-,-,-,-,-,-,9.9,-,-,-,-,-
"1978.11",9.3,-,-,-,-,-,-,-,11.7,-,-,-,-,-,-,-,9.9,-,-,-,-,-
"1978.12",9.3,-,-,-,-,-,-,-,11.8,-,-,-,-,-,-,-,10.1,-,-,-,-,-
"1979.01",9.5,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,10.3,-,-,-,-,-
"1979.02",9.4,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,10.5,-,-,-,-,-
"1979.03",9.4,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,10.6,-,-,-,-,-
"1979.04",9.3,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,10.9,-,-,-,-,-
"1979.05",9.2,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,10.8,-,-,-,-,-
"1979.06",9.2,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,11.0,-,-,-,-,-
"1979.07",9.3,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,11.0,-,-,-,-,-
"1979.08",9.3,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,11.0,-,-,-,-,-
"1979.09",9.3,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,11.1,-,-,-,-,-
"1979.10",9.4,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,11.1,-,-,-,-,-
"1979.11",9.4,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,11.2,-,-,-,-,-
"1979.12",9.4,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,11.3,-,-,-,-,-
"1980.01",9.5,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,11.2,-,-,-,-,-
"1980.02",9.6,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,11.4,-,-,-,-,-
"1980.03",9.7,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,11.5,-,-,-,-,-
"1980.04",9.8,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,11.7,-,-,-,-,-
"1980.05",9.9,-,-,-,-,-,-,-,11.9,-,-,-,-,-,-,-,11.8,-,-,-,-,-
"1980.06",10.0,-,-,-,-,-,-,-,11.9,-,-,-,-,-,-,-,11.9,-,-,-,-,-
"1980.07",10.1,-,-,-,-,-,-,-,11.9,-,-,-,-,-,-,-,12.0,-,-,-,-,-
"1980.08",10.1,-,-,-,-,-,-,-,11.9,-,-,-,-,-,-,-,12.1,-,-,-,-,-
"1980.09",10.2,-,-,-,-,-,-,-,11.9,-,-,-,-,-,-,-,12.1,-,-,-,-,-
"1980.10",10.3,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,12.1,-,-,-,-,-
"1980.11",10.4,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,12.1,-,-,-,-,-
"1980.12",10.5,-,-,-,-,-,-,-,12.1,-,-,-,-,-,-,-,12.2,-,-,-,-,-
"1981.01",10.6,-,-,-,-,-,-,-,12.2,-,-,-,-,-,-,-,12.2,-,-,-,-,-
"1981.02",10.8,-,-,-,-,-,-,-,12.3,-,-,-,-,-,-,-,12.2,-,-,-,-,-
"1981.03",10.9,-,-,-,-,-,-,-,12.5,-,-,-,-,-,-,-,12.2,-,-,-,-,-
"1981.04",11.0,-,-,-,-,-,-,-,12.5,-,-,-,-,-,-,-,12.2,-,-,-,-,-
"1981.05",11.1,-,-,-,-,-,-,-,12.6,-,-,-,-,-,-,-,12.3,-,-,-,-,-
"1981.06",11.2,-,-,-,-,-,-,-,12.7,-,-,-,-,-,-,-,12.3,-,-,-,-,-
"1981.07",11.3,-,-,-,-,-,-,-,12.7,-,-,-,-,-,-,-,12.4,-,-,-,-,-
"1981.08",11.4,-,-,-,-,-,-,-,12.8,-,-,-,-,-,-,-,12.4,-,-,-,-,-
"1981.09",11.4,-,-,-,-,-,-,-,12.8,-,-,-,-,-,-,-,12.5,-,-,-,-,-
"1981.10",11.5,-,-,-,-,-,-,-,12.8,-,-,-,-,-,-,-,12.7,-,-,-,-,-
"1981.11",11.6,-,-,-,-,-,-,-,12.8,-,-,-,-,-,-,-,12.9,-,-,-,-,-
"1981.12",11.6,-,-,-,-,-,-,-,12.9,-,-,-,-,-,-,-,13.0,-,-,-,-,-
"1982.01",11.6,-,-,-,-,-,-,-,12.9,-,-,-,-,-,-,-,13.0,-,-,-,-,-
"1982.02",11.7,-,-,-,-,-,-,-,12.8,-,-,-,-,-,-,-,13.0,-,-,-,-,-
"1982.03",11.8,-,-,-,-,-,-,-,12.8,-,-,-,-,-,-,-,13.1,-,-,-,-,-
"1982.04",11.9,-,-,-,-,-,-,-,12.8,-,-,-,-,-,-,-,13.1,-,-,-,-,-
"1982.05",12.0,-,-,-,-,-,-,-,12.9,-,-,-,-,-,-,-,13.1,-,-,-,-,-
"1982.06",12.0,-,-,-,-,-,-,-,12.9,-,-,-,-,-,-,-,13.2,-,-,-,-,-
"1982.07",12.1,-,-,-,-,-,-,-,13.0,-,-,-,-,-,-,-,13.1,-,-,-,-,-
