대여소,상태,주소,위도,경도,구
본마을 정류소 앞,운영중,서울특별시 서초구 본마을2길 2 서초구 신원동 485-13,37.453281,127.051483,서초구
청계산입구역 1번출구,운영중,서울특별시 서초구 청계산로 지하 179 서초구 신원동 276-1,37.448936,127.054375,서초구
청계산입구역 2번출구,운영중,서울특별시 서초구 청계산로 지하 179 서초구 신원동 270-6,37.447659,127.055016,서초구
내곡3단지 어린이공원 앞,운영중,서울특별시 서초구 청계산로9길 76 서초구 신원동 411-69,37.453751,127.05938,서초구
언남초등학교 앞,운영중,서울특별시 서초구 헌릉로8길 42 서초구 내곡동 123-1,37.454399,127.062309,서초구
내곡파출소 뒤 정자,운영중,서울특별시 서초구 헌릉로 226 서초구 내곡동 184-27,37.454407,127.064926,서초구
여의도초교 앞,운영중,서울특별시 영등포구 여의대방로 439 여의도초등학교 앞,37.522675,126.93779,영등포구
반포1동 주민센터 앞,운영중,서울특별시 서초구 사평대로 지하 285 서초구 반포동 128-7,37.505096,127.013107,서초구
서초구립반포도서관 앞,운영중,서울특별시 서초구 고무래로 34 서초구 반포동 131-1,37.502636,127.012314,서초구
서초현대4차아파트 201동 맞은편,운영중,서울특별시 서초구 고무래로 94 서초구 반포동 131-3,37.500961,127.017929,서초구
고속터미널역 5번출구 앞,운영중,서울특별시 서초구 신반포로 지하 188 서초구 반포동 117-4,37.502232,127.002258,서초구
신반포역 2번출구 앞,운영중,서울특별시 서초구 신반포로 지하 105 서초구 반포동 128-1,37.504116,126.99748999999998,서초구
반포종합운동장 입구,운영중,서울특별시 서초구 신반포로16길 30 서초구 반포동 15-2,37.501713,126.995476,서초구
아크로리버뷰 부지 앞,운영중,서울특별시 서초구 나루터로4길 60 서초구 잠원동 78,37.513046,127.005959,서초구
"고속터미널역 8-1번, 8-2번 출구 사이",운영중,서울특별시 서초구 신반포로 지하 188 서초구 잠원동 101,37.506199,127.003944,서초구
시범아파트버스정류장 옆,운영중,서울특별시 영등포구 63로 45 시범아파트버스정류장 옆,37.520271,126.938881,영등포구
반포본동 주민센터 앞,운영중,서울특별시 서초구 신반포로 10 서초구 반포동 752,37.500614,126.98616,서초구
하나은행 방배동지점 앞,운영중,서울특별시 서초구 방배로 110 서초구 방배동 905-34,37.485611,126.994682,서초구
사당역 12번출구 뒤,운영중,서울특별시 동작구 동작대로 지하 3 서초구 방배동 495-3,37.478069,126.982033,동작구
방배래미안 정문 앞,운영중,서울특별시 서초구 남부순환로 2183 서초구 방배동 2577,37.47261,126.983009,서초구
백석예술대학교 제3캠퍼스 앞,운영중,서울특별시 서초구 방배로9길 23 서초구 방배동 504-4,37.473759,126.995247,서초구
신동아럭스빌아파트 앞,운영중,서울특별시 서초구 방배로1길 9 서초구 방배동 1034-2,37.475182,127.001389,서초구
방배열린문화센터 앞,운영중,서울특별시 서초구 서초대로 지하 103 서초구 방배동 874-16,37.489052,126.992523,서초구
뒷벌공원 옆,운영중,서울특별시 서초구 방배중앙로 131 서초구 방배동 686-152,37.489586,126.986725,서초구
로고스교회 맞은 편,운영중,서울특별시 서초구 방배천로 126 서초구 방배동 3151,37.487011,126.984962,서초구
진주아파트상가 앞,운영중,서울특별시 영등포구 국제금융로 108-6 진주아파트상가 앞,37.519314,126.933167,영등포구
이수역 4번 출구,운영중,서울특별시 동작구 사당로 지하 310 서초구 방배동 2298,37.48582800000001,126.982628,동작구
삼성타운(삼성생명) A동 맞은편,운영중,서울특별시 서초구 서초대로 405 1377,37.496914,127.024963,서초구
서초신동아1차아파트 옆,운영중,서울특별시 서초구 효령로36길 22 서초동 1418,37.491112,127.022957,서초구
KT 서초지사 앞,운영중,서울특별시 서초구 사평대로 73 서초구 방배동 1037-2,37.482159,127.002701,서초구
서울남부터미널 대합실 입구,운영중,서울특별시 서초구 서초중앙로 지하 31 서초구 서초동 1748-38,37.484558,127.01487,서초구
교대역 6번출구,운영중,서울특별시 서초구 서초대로 지하 294 서초구 서초동 1748-6,37.494217,127.013786,서초구
롯데캐슬 앞,운영중,서울특별시 영등포구 국제금융로 86 롯데캐슬 앞,37.520088,126.932365,영등포구
양재전화국 사거리,운영중,서울특별시 강남구 논현로 201 강남구 도곡동 207,37.485378,127.041702,강남구
양재역 11번 출구 앞,운영중,서울특별시 서초구 남부순환로 지하 2585 서초구 양재동 105-4,37.48399000000001,127.03418,서초구
서울가정법원,운영중,서울특별시 서초구 강남대로 193 서초구 양재동 105-4,37.481491,127.036728,서초구
